nfl_week,player,team,prop,bovada_line,over_odds,implied_over_probability,under_odds,implied_under_probability,fp_projection,difference,pct_difference,direction,bet_score,bet_grade,actual_stat_line,correct
7,Jamaal Williams,GB,Total Receiving Yards,21.5,-120,0.55,-110,0.52,24.5,3,12.24,Over,3.948,D+,26,TRUE
7,Josh Jacobs,OAK,Total Receiving Yards,14.5,-150,0.6,115,0.47,14.6,0.1,0.68,Over,0.186,F,10,FALSE
7,Josh Jacobs,OAK,Total Receiving Yards,14.5,-150,0.6,115,0.47,14.6,0.1,0.68,Over,0.186,F,10,FALSE
7,Trevor Davis,OAK,Total Receiving Yards,26.5,-125,0.56,-105,0.51,27.4,0.9,3.28,Over,1.9355,D,26,FALSE
7,Aaron Rodgers,GB,Total Passing Yards,267.5,-130,0.57,EVEN,0.5,263.1,4.4,1.67,Under,9.134,C+,429,FALSE
7,Aaron Rodgers,GB,Total Passing Yards,267.5,-130,0.57,EVEN,0.5,263.1,4.4,1.67,Under,9.134,C+,429,FALSE
7,Derek Carr,OAK,Total Passing Yards,232.5,-125,0.56,-105,0.51,234,1.5,0.64,Over,3.128,D+,293,TRUE
7,Derek Carr,OAK,Total Passing Yards,232.5,-125,0.56,-105,0.51,234,1.5,0.64,Over,3.128,D+,293,TRUE
7,Dante Pettis,SF,Total Receiving Yards,41.5,110,0.48,-145,0.59,44.2,2.7,6.11,Over,4.501,D+,0,FALSE
7,Dante Pettis,SF,Total Receiving Yards,41.5,110,0.48,-145,0.59,44.2,2.7,6.11,Over,4.501,D+,0,FALSE
7,George Kittle,SF,Total Receiving Yards,69.5,-115,0.53,-115,0.53,70.3,0.8,1.14,Over,1.57,D,38,FALSE
7,George Kittle,SF,Total Receiving Yards,69.5,-115,0.53,-115,0.53,70.3,0.8,1.14,Over,1.57,D,38,FALSE
7,Jeremy Sprinkle,WAS,Total Receiving Yards,21.5,-105,0.51,-125,0.56,23.8,2.3,9.66,Over,3.082,D+,13,FALSE
7,Jeremy Sprinkle,WAS,Total Receiving Yards,21.5,-105,0.51,-125,0.56,23.8,2.3,9.66,Over,3.082,D+,13,FALSE
7,Kendrick Bourne,SF,Total Receiving Yards,21.5,-115,0.53,-115,0.53,24,2.5,10.42,Over,3.334,D+,69,TRUE
7,Marquise Goodwin,SF,Total Receiving Yards,37.5,-110,0.52,-120,0.55,48.4,10.9,22.52,Over,17.4195,B+,0,FALSE
7,Marquise Goodwin,SF,Total Receiving Yards,37.5,-110,0.52,-120,0.55,48.4,10.9,22.52,Over,17.4195,B+,0,FALSE
7,Matt Breida,SF,Total Receiving Yards,16.5,-115,0.53,-115,0.53,19.4,2.9,14.95,Over,4.44,D+,1,FALSE
7,Matt Breida,SF,Total Receiving Yards,16.5,-115,0.53,-115,0.53,19.4,2.9,14.95,Over,4.44,D+,1,FALSE
7,Paul Richardson,WAS,Total Receiving Yards,31.5,115,0.47,-150,0.6,37.1,5.6,15.09,Over,10.1815,B,0,FALSE
7,Paul Richardson,WAS,Total Receiving Yards,31.5,115,0.47,-150,0.6,37.1,5.6,15.09,Over,10.1815,B,0,FALSE
7,Terry McLaurin,WAS,Total Receiving Yards,67.5,115,0.47,-150,0.6,65.9,1.6,2.43,Under,3.215,D+,11,TRUE
7,Terry McLaurin,WAS,Total Receiving Yards,67.5,115,0.47,-150,0.6,65.9,1.6,2.43,Under,3.215,D+,11,TRUE
7,Tevin Coleman,SF,Total Receiving Yards,13.5,-105,0.51,-125,0.56,17.9,4.4,24.58,Over,7.116,C+,-1,FALSE
7,Tevin Coleman,SF,Total Receiving Yards,13.5,-105,0.51,-125,0.56,17.9,4.4,24.58,Over,7.116,C+,-1,FALSE
7,Case Keenum,WAS,Total Passing Yards,203.5,115,0.47,-150,0.6,206,2.5,1.21,Over,5.242,C,77,FALSE
7,Case Keenum,WAS,Total Passing Yards,203.5,115,0.47,-150,0.6,206,2.5,1.21,Over,5.242,C,77,FALSE
7,Jimmy Garoppolo,SF,Total Passing Yards,251.5,-105,0.51,-125,0.56,245.1,6.4,2.61,Under,13.322,B,151,TRUE
7,Jimmy Garoppolo,SF,Total Passing Yards,251.5,-105,0.51,-125,0.56,245.1,6.4,2.61,Under,13.322,B,151,TRUE
7,Adrian Peterson,WAS,Total Rushing Yards,59.5,125,0.44,-165,0.62,55.3,4.2,7.59,Under,9.045,C+,81,FALSE
7,David Johnson,ARI,Total Receiving Yards,45.5,-125,0.56,-105,0.51,51.2,5.7,11.13,Over,8.883,C+,0,FALSE
7,David Johnson,ARI,Total Receiving Yards,45.5,-125,0.56,-105,0.51,51.2,5.7,11.13,Over,8.883,C+,0,FALSE
7,Evan Engram,NYG,Total Receiving Yards,68.5,-130,0.57,EVEN,0.5,69,0.5,0.72,Over,0.985,F,6,FALSE
7,Evan Engram,NYG,Total Receiving Yards,68.5,-130,0.57,EVEN,0.5,69,0.5,0.72,Over,0.985,F,6,FALSE
7,Golden Tate,NYG,Total Receiving Yards,57.5,-115,0.53,-115,0.53,65.9,8.4,12.75,Over,16.875,B+,80,TRUE
7,Golden Tate,NYG,Total Receiving Yards,57.5,-115,0.53,-115,0.53,65.9,8.4,12.75,Over,16.875,B+,80,TRUE
7,Larry Fitzgerald,ARI,Total Receiving Yards,66.5,-115,0.53,-115,0.53,73.8,7.3,9.89,Over,14.07,B,12,FALSE
7,Larry Fitzgerald,ARI,Total Receiving Yards,66.5,-115,0.53,-115,0.53,73.8,7.3,9.89,Over,14.07,B,12,FALSE
7,Saquon Barkley,NYG,Total Receiving Yards,35.5,-110,0.52,-120,0.55,37.8,2.3,6.08,Over,4.1405,D+,8,FALSE
7,Darren Waller,OAK,Total Receiving Yards,53.5,-135,0.57,105,0.49,62.2,8.7,13.99,Over,17.87,B+,126,TRUE
7,Darren Waller,OAK,Total Receiving Yards,53.5,-135,0.57,105,0.49,62.2,8.7,13.99,Over,17.87,B+,126,TRUE
7,Foster Moreau,OAK,Total Receiving Yards,17.5,-125,0.56,-105,0.51,19.7,2.2,11.17,Over,3.334,D+,24,TRUE
7,Hunter Renfrow,OAK,Total Receiving Yards,26.5,105,0.49,-135,0.57,34.7,8.2,23.63,Over,15.4455,B+,14,FALSE
7,Hunter Renfrow,OAK,Total Receiving Yards,26.5,105,0.49,-135,0.57,34.7,8.2,23.63,Over,15.4455,B+,14,FALSE
7,Jalen Richard,OAK,Total Receiving Yards,14.5,-105,0.51,-125,0.56,17.2,2.7,15.7,Over,4.49,D+,5,FALSE
7,Jalen Richard,OAK,Total Receiving Yards,14.5,-105,0.51,-125,0.56,17.2,2.7,15.7,Over,4.49,D+,5,FALSE
7,Jamaal Williams,GB,Total Receiving Yards,21.5,-120,0.55,-110,0.52,24.5,3,12.24,Over,3.948,D+,26,TRUE
7,Jamaal Williams,GB,Total Receiving Yards,21.5,-120,0.55,-110,0.52,24.5,3,12.24,Over,3.948,D+,26,TRUE
