nfloddsid,gameid,currentdate,currenttime,website,bet_type,home_odds,away_odds,home_points,away_points
5675,47,10/7/2019,2:40:04,Bookmaker,Moneyline,2.88,1.44,0,0
5719,50,10/7/2019,2:39:41,MyBookie.ag,Spread,1.87,1.952,-3,3
5762,50,10/7/2019,2:39:03,Bovada,O/U,1.909091,1.909091,44,44
5805,48,10/7/2019,9:20:26,Betfair,Moneyline,1.1,7.6,0,0
5848,49,10/7/2019,9:16:43,MyBookie.ag,Spread,1.952,1.87,0,0
5891,47,10/7/2019,9:16:49,Intertops,O/U,1.9091,1.9091,47.5,47.5
5934,61,10/7/2019,9:16:43,MyBookie.ag,O/U,1.909,1.909,46.5,46.5
5977,56,10/7/2019,11:37:10,LowVig.ag,Moneyline,2.15,1.74,0,0
6020,50,10/7/2019,11:40:31,BetOnline.ag,Spread,1.952,1.87,-3,3
6063,61,10/7/2019,11:40:31,BetOnline.ag,Spread,1.909,1.909,4.5,-4.5
6106,56,10/7/2019,11:37:10,LowVig.ag,O/U,1.952,1.952,52,52
6149,50,10/7/2019,14:41:05,BetOnline.ag,Moneyline,1.69,2.25,0,0
6192,59,10/7/2019,14:41:05,BetOnline.ag,Moneyline,1.25,4.3,0,0
6235,54,10/7/2019,14:39:50,MyBookie.ag,Spread,1.909,1.909,3.5,-3.5
6278,61,10/7/2019,14:38:34,LowVig.ag,Spread,1.952,1.952,4.5,-4.5
6321,52,10/7/2019,14:35:00,Bookmaker,O/U,1.909,1.909,55.5,55.5
6364,50,10/8/2019,9:09:26,Betfair,Moneyline,1.69,2.34,0,0
6406,59,10/8/2019,9:09:17,Bovada,Moneyline,1.23,4.15,0,0
6448,55,10/8/2019,9:06:56,MyBookie.ag,Spread,1.87,1.952,-1,1
6490,48,10/8/2019,9:09:17,Bovada,O/U,1.952381,1.87,44.5,44.5
6532,59,10/8/2019,9:09:17,Bovada,O/U,1.909091,1.909091,43.5,43.5
6574,55,10/8/2019,11:40:22,LowVig.ag,Moneyline,1.82,2.02,0,0
