LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP
NBA,Ja Morant,PG,MEM,DET@MEM,41.9,23.4,34,8.8,17.6,7.5,5,4.1,0.9,0.4,1.4,3.2,4.2,0.76,0.5
NBA,Devin Booker,SG,PHO,LAC@PHO,39.3,26.0,34,9.4,20.8,4.7,6.3,5.7,0.6,0.3,0.9,3.5,4.6,0.89,0.45
NBA,Chris Paul,PG,PHO,LAC@PHO,38.3,16.3,32,6.2,13.1,8.2,6,5.6,0.4,0.2,1.9,2.6,2.4,0.87,0.47
NBA,Jayson Tatum,SF,BOS,BOS@NY,38.0,23.9,37,8.5,19.7,3.5,7.8,6.8,1.0,0.8,1.0,2.5,4.5,0.84,0.43
NBA,Julius Randle,PF,NY,BOS@NY,37.8,19.9,34,7.1,17.0,4.9,10.1,8.7,1.5,0.6,0.9,3.5,3.8,0.77,0.42
NBA,Brandon Ingram,SF,NO,GS@NO,35.7,21.4,34,7.8,17.5,5.0,5.7,4.9,0.7,0.4,0.8,2.5,4.1,0.8,0.45
NBA,Cade Cunningham,PG,DET,DET@MEM,35.2,19.3,33,7.3,16.9,5.9,6.6,5.8,0.8,0.9,1.4,4.6,1.9,0.85,0.43
NBA,Andrew Wiggins,SF,GS,GS@NO,33.3,21.6,37,8.1,17.8,3.6,4.7,3.9,0.9,1.1,1.0,2.3,2.9,0.69,0.46
NBA,Jonas Valanciunas,C,NO,GS@NO,32.6,16.8,29,6.6,12.1,2.3,12,8.1,3.9,0.8,0.5,2.1,2.8,0.79,0.55
NBA,Jaylen Brown,SG,BOS,BOS@NY,32.2,22.4,35,8.3,17.7,2.4,6.1,5.1,1.0,0.4,1.0,2.6,3.4,0.75,0.47
NBA,Jordan Poole,SG,GS,GS@NO,29.0,17.8,32,6.0,14.8,4.7,3.3,3.1,0.2,0.2,0.8,2.5,3.1,0.87,0.41
NBA,RJ Barrett,SF,NY,BOS@NY,28.2,17.3,32,6.2,15.4,3.1,5.7,5.0,0.7,0.4,0.8,2.2,2.8,0.7,0.4
NBA,Saddiq Bey,SF,DET,DET@MEM,28.0,17.5,32,5.9,14.6,2.3,6.4,5.5,0.9,0.2,0.9,1.6,2.6,0.85,0.4
NBA,Devonte Graham,PG,NO,GS@NO,27.9,14.0,30,4.6,12.1,5.7,2.8,2.4,0.5,0.2,1.0,1.6,1.9,0.82,0.38
NBA,Reggie Jackson,PG,LAC,LAC@PHO,27.6,16.2,31,6.0,15.1,4.5,3.4,2.9,0.5,0.2,0.9,2.1,1.5,0.84,0.4
NBA,Marcus Morris,PF,LAC,LAC@PHO,26.3,16.8,34,6.1,14.1,1.9,6,5.3,0.7,0.5,0.9,1.6,2.1,0.84,0.43
NBA,Jaren Jackson Jr.,PF,MEM,DET@MEM,26.0,17.2,29,6.1,13.6,1.4,5.2,4.2,1.0,1.6,1.0,1.7,3.0,0.81,0.45
NBA,Josh Hart,SG,NO,GS@NO,25.9,11.4,32,4.1,8.9,3.6,7.4,6.1,1.3,0.4,1.0,1.5,1.8,0.73,0.46
NBA,Robert Williams,C,BOS,BOS@NY,25.4,10.5,31,4.7,6.4,1.9,9.5,5.9,3.6,2.1,0.8,1.3,1.1,0.62,0.73
NBA,Desmond Bane,SF,MEM,DET@MEM,25.2,15.6,31,6.0,12.6,2.3,4.6,4.2,0.4,0.4,1.1,1.3,1.0,0.89,0.48
