index,gameId,seasonYear,League,homeTeamId,awayTeamId,startDate,startTime,status,homeScore,awayScore
0,10796,2021,standard,17,4,2021-10-03,15:30,Finished,97,123
1,10797,2021,standard,38,27,2021-10-04,19:00,Finished,123,107
2,10798,2021,standard,2,26,2021-10-04,19:30,Finished,98,97
3,10799,2021,standard,20,1,2021-10-04,19:30,Finished,125,99
4,10800,2021,standard,22,23,2021-10-04,20:00,Finished,117,114
5,10801,2021,standard,25,5,2021-10-04,20:00,Finished,97,113
6,10802,2021,standard,31,40,2021-10-04,20:30,Finished,111,85
7,10803,2021,standard,29,11,2021-10-04,22:00,Finished,107,121
8,10804,2021,standard,30,28,2021-10-04,22:00,Finished,117,106
9,10805,2021,standard,16,9,2021-10-04,22:30,Finished,103,102
10,10806,2021,standard,24,15,2021-10-05,19:30,Finished,125,104
11,10807,2021,standard,6,7,2021-10-05,20:00,Finished,131,95
12,10808,2021,standard,14,41,2021-10-05,20:00,Finished,125,119
13,10809,2021,standard,19,21,2021-10-05,20:00,Finished,87,77
14,10815,2021,standard,28,17,2021-10-06,18:00,Finished,117,105
15,10810,2021,standard,10,31,2021-10-06,19:00,Finished,115,105
16,10811,2021,standard,1,7,2021-10-06,19:30,Finished,96,99
17,10812,2021,standard,23,26,2021-10-06,20:00,Finished,104,86
18,10813,2021,standard,8,40,2021-10-06,20:30,Finished,111,101
19,10814,2021,standard,11,9,2021-10-06,22:00,Finished,118,116
20,10816,2021,standard,16,30,2021-10-06,22:30,Finished,98,113
21,10817,2021,standard,5,19,2021-10-07,19:00,Finished,98,128
22,10818,2021,standard,27,38,2021-10-07,19:00,Finished,125,113
23,10819,2021,standard,14,20,2021-10-07,22:00,Finished,106,113
24,10820,2021,standard,7,15,2021-10-08,19:00,Finished,100,109
25,10821,2021,standard,4,21,2021-10-08,19:30,Finished,119,115
26,10822,2021,standard,6,23,2021-10-08,20:00,Finished,121,85
27,10823,2021,standard,8,16,2021-10-08,20:30,Finished,122,114
28,10824,2021,standard,31,20,2021-10-08,20:30,Finished,105,109
29,10825,2021,standard,9,22,2021-10-08,21:00,Finished,112,114
30,10826,2021,standard,11,17,2021-10-08,22:00,Finished,121,114
31,10827,2021,standard,2,38,2021-10-09,19:00,Finished,113,111
32,10828,2021,standard,41,24,2021-10-09,19:00,Finished,99,117
33,10829,2021,standard,19,1,2021-10-09,20:00,Finished,87,91
34,10830,2021,standard,26,31,2021-10-10,18:00,Finished,100,101
35,10831,2021,standard,7,6,2021-10-10,19:00,Finished,101,102
36,10832,2021,standard,21,25,2021-10-10,19:30,Finished,130,110
37,10833,2021,standard,17,28,2021-10-10,22:00,Finished,94,123
38,10834,2021,standard,38,14,2021-10-11,19:00,Finished,107,92
39,10835,2021,standard,20,5,2021-10-11,19:30,Finished,104,103
40,10836,2021,standard,27,4,2021-10-11,20:00,Finished,115,104
41,10837,2021,standard,19,10,2021-10-11,20:00,Finished,127,92
42,10838,2021,standard,40,23,2021-10-11,21:00,Finished,127,96
43,10839,2021,standard,29,30,2021-10-11,22:00,Finished,93,107
44,10840,2021,standard,16,22,2021-10-11,22:30,Finished,100,128
45,10841,2021,standard,41,38,2021-10-12,19:00,Finished,108,113
46,10842,2021,standard,17,11,2021-10-12,22:30,Finished,99,111
47,10849,2021,standard,28,29,2021-10-13,17:00,Finished,119,74
48,10843,2021,standard,5,8,2021-10-13,18:30,Finished,59,127
49,10844,2021,standard,15,19,2021-10-13,19:00,Finished,109,107
50,10845,2021,standard,26,2,2021-10-13,19:00,Finished,103,102
51,10846,2021,standard,24,10,2021-10-13,19:30,Finished,108,100
52,10847,2021,standard,25,9,2021-10-13,20:00,Finished,108,99
53,10848,2021,standard,40,21,2021-10-13,21:00,Finished,124,120
54,10850,2021,standard,1,20,2021-10-14,19:00,Finished,127,92
55,10851,2021,standard,4,22,2021-10-14,19:30,Finished,107,101
56,10852,2021,standard,25,9,2021-10-14,20:00,Finished,107,113
57,10853,2021,standard,30,17,2021-10-14,22:00,Finished,116,112
58,10854,2021,standard,20,2,2021-10-15,18:30,Finished,121,100
59,10855,2021,standard,10,27,2021-10-15,19:00,Finished,112,108
60,10856,2021,standard,15,7,2021-10-15,19:00,Finished,94,110
61,10857,2021,standard,24,41,2021-10-15,19:30,Finished,115,113
62,10858,2021,standard,6,19,2021-10-15,20:00,Finished,118,105
63,10859,2021,standard,21,8,2021-10-15,20:00,Finished,103,114
64,10860,2021,standard,31,14,2021-10-15,20:30,Finished,126,98
65,10861,2021,standard,11,29,2021-10-15,22:00,Finished,119,97
66,8787,2021,standard,21,4,2021-10-19,19:30,Finished,127,104
67,8788,2021,standard,17,11,2021-10-19,22:00,Finished,114,121
68,8789,2021,standard,5,15,2021-10-20,19:00,Finished,123,122
69,8790,2021,standard,10,6,2021-10-20,19:00,Finished,88,94
70,8791,2021,standard,24,2,2021-10-20,19:30,Finished,138,134
71,8792,2021,standard,38,41,2021-10-20,19:30,Finished,83,98
72,8793,2021,standard,19,7,2021-10-20,20:00,Finished,132,121
73,9573,2021,standard,22,14,2021-10-20,20:00,Finished,124,106
74,9574,2021,standard,23,27,2021-10-20,20:00,Finished,97,117
75,9575,2021,standard,31,26,2021-10-20,20:30,Finished,123,97
76,9576,2021,standard,40,25,2021-10-20,21:00,Finished,107,86
77,9577,2021,standard,28,9,2021-10-20,22:00,Finished,98,110
78,9578,2021,standard,29,30,2021-10-20,22:00,Finished,121,124
79,9579,2021,standard,1,8,2021-10-21,19:30,Finished,113,87
80,9580,2021,standard,20,21,2021-10-21,20:00,Finished,137,95
81,9581,2021,standard,11,16,2021-10-21,22:00,Finished,115,113
82,9582,2021,standard,7,5,2021-10-22,19:00,Finished,112,123
83,9583,2021,standard,26,24,2021-10-22,19:00,Finished,96,121
