index,LEAGUE,PLAYER,POS,TEAM,GAME,FP,PTS,MIN,FG,FGA,AST,TRB,DRB,ORB,BK,ST,TO,FT,FTP,FGP,DATE
0,NBA,Nikola Jokic,C,DEN,UTA@DEN,52.1,25.3,33,9.7,18.5,7.5,12.2,10,2.2,0.8,1.3,2.6,4.2,0.82,0.52,2022-01-16
1,NBA,Karl-Anthony Towns,C,MIN,GS@MIN,38.8,22.1,34,7.7,16.0,3.5,10.8,7.7,3.1,1.4,0.9,3.3,4.1,0.82,0.48,2022-01-16
2,NBA,De`Aaron Fox,PG,SAC,HOU@SAC,36.9,21.7,34,8.1,16.1,6.3,3.5,3.1,0.4,0.4,1.4,2.7,4.4,0.73,0.5,2022-01-16
3,NBA,Devin Booker,SG,PHO,PHO@DET,35.3,23.2,34,8.2,18.3,4.5,4.9,4.3,0.6,0.3,1.0,3.1,4.5,0.88,0.45,2022-01-16
4,NBA,Chris Paul,PG,PHO,PHO@DET,35.2,14.4,32,5.4,11.5,8.2,4.5,4.2,0.4,0.2,2.1,2.3,2.3,0.88,0.47,2022-01-16
5,NBA,Tyrese Haliburton,PG,SAC,HOU@SAC,33.6,14.9,35,5.7,11.2,7.4,3.6,3.1,0.5,0.5,1.8,2.0,1.4,0.83,0.51,2022-01-16
6,NBA,Christian Wood,PF,HOU,HOU@SAC,33.5,19.7,33,7.1,14.2,1.9,10.1,8.2,2.0,0.9,0.8,1.8,3.9,0.66,0.5,2022-01-16
7,NBA,Donovan Mitchell,SG,UTA,UTA@DEN,33.4,22.1,34,8.0,18.5,4.1,4.1,3.4,0.7,0.3,1.0,2.4,3.3,0.86,0.43,2022-01-16
8,NBA,D`Angelo Russell,PG,MIN,GS@MIN,32.2,17.8,32,6.4,15.9,5.9,3.7,3.2,0.4,0.4,1.0,2.5,2.0,0.8,0.4,2022-01-16
9,NBA,Anthony Edwards,SG,MIN,GS@MIN,31.0,20.3,34,7.3,17.2,3.2,5.2,4.3,0.9,0.6,1.3,2.7,2.6,0.8,0.42,2022-01-16
10,NBA,Deandre Ayton,C,PHO,PHO@DET,30.7,16.8,31,7.4,12.4,1.5,10.6,7.8,2.9,1.0,0.9,1.7,1.9,0.75,0.6,2022-01-16
11,NBA,Andrew Wiggins,SF,GS,GS@MIN,30.3,19.3,36,7.2,16.5,3.2,5.2,4.2,1.0,0.9,1.1,2.6,2.6,0.7,0.44,2022-01-16
12,NBA,Rudy Gobert,C,UTA,UTA@DEN,30.1,12.7,32,4.8,7.0,1.2,13.5,10.6,2.8,2.6,0.6,1.5,3.1,0.66,0.69,2022-01-16
13,NBA,Cade Cunningham,PG,DET,PHO@DET,28.6,15.4,34,5.8,14.4,5.0,5.3,4.6,0.7,0.7,1.3,4.1,1.7,0.86,0.4,2022-01-16
14,NBA,Klay Thompson,SG,GS,GS@MIN,27.2,18.9,31,7.1,16.8,2.4,3.8,3.4,0.4,0.5,1.3,2.1,1.6,0.86,0.42,2022-01-16
15,NBA,Will Barton,SG,DEN,UTA@DEN,27.1,14.9,31,5.5,13.0,3.5,5.2,4.5,0.7,0.5,0.8,1.3,1.5,0.78,0.42,2022-01-16
16,NBA,Mike Conley,PG,UTA,UTA@DEN,26.6,14.1,30,4.9,11.2,4.8,3.3,2.8,0.5,0.3,0.8,1.5,2.1,0.83,0.44,2022-01-16
