League,Game,StartDate,StartTime,Player,BetLabel,SportsLine_Projection,DK_Line,Outcome1_Label,Outcome1_Odds,Outcome2_Label,Outcome2_Odds,Line2ProjDiff,Outcome1_ImpliedProbability,Outcome2_ImpliedProbability,Bet_Juice,NBA_Stat,BetSuggestion,BetResult,W/L,BetGrade
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Assists,1.7,0.5,Over,-125,Under,-105,1.2,56,51.0,7.0,0.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Points + Rebounds,16.1,14.5,Over,-150,Under,+115,1.6000000000000014,60,47.0,7.0,20.0,Over,Over,W,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Points,12.8,12.5,Over,-110,Under,-120,0.3000000000000007,52,55.0,7.0,15.0,Over,Over,W,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Points + Rebounds,20.7,19.5,Over,-115,Under,-115,1.1999999999999993,53,53.0,6.0,18.0,Over,Under,L,D
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Andrew Wiggins,Rebounds,4.0,3.5,Over,-105,Under,-125,0.5,51,56.0,7.0,2.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Points + Assists + Rebounds,17.8,15.5,Over,-125,Under,-105,2.3000000000000007,56,51.0,7.0,20.0,Over,Over,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Bobby Portis,Points + Assists,14.700000000000001,24.5,Over,-135,Under,+105,9.799999999999999,57,49.0,6.0,20.0,Under,Under,W,A
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Klay Thompson,Assists + Rebounds,5.2,4.5,Over,-115,Under,-115,0.7000000000000002,53,53.0,6.0,3.0,Over,Under,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Wesley Matthews,Points,8.3,10.5,Over,-115,Under,-115,2.1999999999999993,53,53.0,6.0,6.0,Under,Under,W,C
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Khris Middleton,Assists + Rebounds,10.7,11.5,Over,+100,Under,-130,0.8000000000000007,50,56.0,6.0,12.0,Under,Over,L,F
NBA,GS Warriors @ MIL Bucks,"Thu, Jan 13",07:30 PM,Grayson Allen,Assists + Rebounds,5.0,3.5,Over,+145,Under,-195,1.5,41,66.0,7.0,5.0,Over,Over,W,D
