playerId,teamId,fullName,firstName,lastName,Position,yearsPro,startNBA,College,Country,DateOfBirth,Height,Weight
2,28,Quincy Acy,Quincy,Acy,F,6,2012,Baylor,USA,1990-10-06,2.01,108.9
4,19,Steven Adams,Steven,Adams,C,8,2013,Pittsburgh,New Zealand,1993-07-20,2.11,120.2
5,26,Arron Afflalo,Arron,Afflalo,G,0,0,,,,,
8,4,LaMarcus Aldridge,LaMarcus,Aldridge,C-F,15,2006,Texas-Austin,USA,1985-07-19,2.11,113.4
17,15,Justin Anderson,Justin,Anderson,F-G,5,2015,Virginia,USA,1993-11-19,1.96,104.8
18,19,Kyle Anderson,Kyle,Anderson,F-G,7,2014,UCLA,USA,1993-09-20,2.06,104.3
20,21,Giannis Antetokounmpo,Giannis,Antetokounmpo,F,8,2013,Filathlitikos,Greece,1994-12-06,2.11,109.8
21,17,Carmelo Anthony,Carmelo,Anthony,F,18,2003,Syracuse,USA,1984-05-29,2.01,108.0
23,17,Trevor Ariza,Trevor,Ariza,F,17,2004,UCLA,USA,1985-06-30,2.03,97.5
26,,Netanel Artzi,Netanel,Artzi,F,0,0,,,,,
28,14,D.J. Augustin,D.J.,Augustin,G,13,2008,Texas-Austin,USA,1987-11-10,1.8,83.0
30,20,Luke Babbitt,Luke,Babbitt,F,0,0,,,,,
33,15,Wade Baldwin IV,Wade,Baldwin IV,G,2,2016,Vanderbilt,USA,1996-03-29,1.93,90.7
35,8,J.J. Barea,J.J.,Barea,G,14,2006,Northeastern,Puerto Rico,1984-06-26,1.78,81.6
36,30,Harrison Barnes,Harrison,Barnes,F,9,2012,North Carolina,USA,1992-05-30,2.03,102.1
37,11,Matt Barnes,Matt,Barnes,F,0,0,,,,,
38,9,Will Barton,Will,Barton,G,9,2012,Memphis,USA,1991-01-06,1.96,82.1
40,16,Nicolas Batum,Nicolas,Batum,G-F,13,2008,Le Mans,France,1988-12-14,2.03,104.3
41,22,Jerryd Bayless,Jerryd,Bayless,G,0,0,,,,,
42,38,Aron Baynes,Aron,Baynes,C-F,8,2012,Washington State,Australia,1986-12-09,2.08,117.9
44,17,Kent Bazemore,Kent,Bazemore,G-F,9,2012,Old Dominion,USA,1989-07-01,1.93,88.5
45,41,Bradley Beal,Bradley,Beal,G,9,2012,Florida,USA,1993-06-28,1.93,93.9
46,22,Malik Beasley,Malik,Beasley,G,5,2016,Florida State,USA,1996-11-26,1.93,84.8
47,4,Michael Beasley,Michael,Beasley,F,11,2008,Kansas State,USA,1989-01-09,2.06,104.3
48,31,Marco Belinelli,Marco,Belinelli,G,13,2007,Fortitudo Bologna,Italy,1986-03-25,1.96,99.8
49,4,DeAndre' Bembry,DeAndre',Bembry,G-F,5,2016,St. Joseph's (PA),USA,1994-07-04,1.96,95.3
52,41,Davis Bertans,Davis,Bertans,F,5,2016,Baskonia,Latvia,1992-11-12,2.08,102.1
53,22,Patrick Beverley,Patrick,Beverley,G,9,2012,Arkansas,USA,1988-07-12,1.85,81.6
54,28,Bismack Biyombo,Bismack,Biyombo,C,10,2011,Baloncesto Fuenlabrada,DRC,1992-08-28,2.03,115.7
55,11,Nemanja Bjelica,Nemanja,Bjelica,F,6,2015,Fenerbahce,Serbia,1988-05-09,2.06,106.1
56,9,Tarik Black,Tarik,Black,F,4,2014,Kansas,USA,1991-11-22,2.06,117.9
58,,Oz Blayzer,Oz,Blayzer,F,0,0,,,,,
59,16,Eric Bledsoe,Eric,Bledsoe,G,11,2010,Kentucky,USA,1989-12-09,1.85,97.1
60,40,Bojan Bogdanovic,Bojan,Bogdanovic,F,7,2014,Fenerbahce,Croatia,1989-04-18,2.01,102.5
61,11,Andrew Bogut,Andrew,Bogut,C,0,0,,,,,
64,28,Devin Booker,Devin,Booker,G,6,2015,Kentucky,USA,1996-10-30,1.96,93.4
65,15,Trevor Booker,Trevor,Booker,F,8,2010,Clemson,USA,1987-11-25,2.03,103.4
68,17,Avery Bradley,Avery,Bradley,G,11,2010,Texas-Austin,USA,1990-11-26,1.9,81.6
70,30,Corey Brewer,Corey,Brewer,G-F,13,2007,Florida,USA,1986-03-05,2.06,85.3
71,15,Malcolm Brogdon,Malcolm,Brogdon,G,5,2016,Virginia,USA,1992-12-11,1.96,103.9
72,22,Aaron Brooks,Aaron,Brooks,G,0,0,,,,,
75,2,Jaylen Brown,Jaylen,Brown,G-F,5,2016,California,USA,1996-10-24,1.98,101.2
76,38,Lorenzo Brown,Lorenzo,Brown,G,4,2013,North Carolina State,USA,1990-08-26,1.96,85.7
77,25,Markel Brown,Markel,Brown,G,3,2014,Oklahoma State,USA,1992-01-29,1.9,86.2
82,8,Reggie Bullock,Reggie,Bullock,G-F,8,2013,North Carolina,USA,1991-03-16,1.98,93.0
83,8,Trey Burke,Trey,Burke,G,8,2013,Michigan,USA,1992-11-12,1.83,83.9
84,24,Alec Burks,Alec,Burks,G,10,2011,Colorado,USA,1991-07-20,1.98,97.1
86,20,Jimmy Butler,Jimmy,Butler,F,10,2011,Marquette,USA,1989-09-14,2.01,104.3
88,10,Jose Calderon,Jose,Calderon,G,0,0,,,,,
89,41,Kentavious Caldwell-Pope,Kentavious,Caldwell-Pope,G,8,2013,Georgia,USA,1993-02-18,1.96,92.5
92,1,Clint Capela,Clint,Capela,C,7,2014,Elan Chalon,Switzerland,1994-05-18,2.08,116.1
93,14,DeMarre Carroll,DeMarre,Carroll,F,11,2009,Missouri,USA,1986-07-27,1.98,97.5
94,1,Vince Carter,Vince,Carter,G-F,0,0,,,,,
95,26,Michael Carter-Williams,Michael,Carter-Williams,G,8,2013,Syracuse,USA,1991-10-10,1.96,86.2
97,8,Willie Cauley-Stein,Willie,Cauley-Stein,C,6,2015,Kentucky,USA,1993-08-18,2.13,108.9
101,14,Tyson Chandler,Tyson,Chandler,C,19,2001,Dominguez HS (CA),USA,1982-10-02,2.13,106.6
102,4,Wilson Chandler,Wilson,Chandler,F,12,2007,DePaul,USA,1987-05-10,2.03,106.6
104,8,Marquese Chriss,Marquese,Chriss,F,5,2016,Washington,USA,1997-07-02,2.06,108.9
108,23,Ian Clark,Ian,Clark,G,6,2013,Belmont,USA,1991-03-07,1.9,79.4
109,40,Jordan Clarkson,Jordan,Clarkson,G,7,2014,Missouri,USA,1992-06-07,1.93,88.0
112,25,Nick Collison,Nick,Collison,F,0,0,,,,,
114,40,Mike Conley,Mike,Conley,G,14,2007,Ohio State,USA,1987-10-11,1.85,79.4
115,21,Pat Connaughton,Pat,Connaughton,G,6,2015,Notre Dame,USA,1993-01-06,1.96,94.8
118,29,Robert Covington,Robert,Covington,F,8,2013,Tennessee State,USA,1990-12-14,2.01,94.8
120,4,Jamal Crawford,Jamal,Crawford,G,0,0,,,,,
121,28,Jae Crowder,Jae,Crowder,F,9,2012,Marquette,USA,1990-07-06,1.98,106.6
122,31,Dante Cunningham,Dante,Cunningham,F,0,0,,,,,
123,27,Seth Curry,Seth,Curry,G,7,2013,Duke,USA,1990-08-23,1.88,83.9
124,11,Stephen Curry,Stephen,Curry,G,12,2009,Davidson,USA,1988-03-14,1.88,83.9
125,9,Troy Daniels,Troy,Daniels,G,7,2013,Virginia Commonwealth,USA,1991-07-15,1.93,90.7
126,17,Anthony Davis,Anthony,Davis,F-C,9,2012,Kentucky,USA,1993-03-11,2.08,114.8
127,14,Deyonta Davis,Deyonta,Davis,G,3,2016,Michigan State,USA,1996-12-02,2.11,107.5
128,7,Ed Davis,Ed,Davis,C-F,11,2010,North Carolina,USA,1989-06-05,2.06,98.9
131,20,Dewayne Dedmon,Dewayne,Dedmon,C,8,2013,Southern California,USA,1989-08-12,2.13,111.1
133,1,Malcolm Delaney,Malcolm,Delaney,G,2,2016,Virginia Tech,USA,1989-03-11,1.9,86.2
134,7,Matthew Dellavedova,Matthew,Dellavedova,G,8,2013,St.Mary's College of California,Australia,1990-09-08,1.9,90.7
136,6,DeMar DeRozan,DeMar,DeRozan,G-F,12,2009,Southern California,USA,1989-08-07,1.98,99.8
141,1,Gorgui Dieng,Gorgui,Dieng,C,8,2013,Louisville,Senegal,1990-01-18,2.08,112.5
142,41,Spencer Dinwiddie,Spencer,Dinwiddie,G,7,2014,Colorado,USA,1993-04-06,1.98,97.5
146,38,Goran Dragic,Goran,Dragic,G,13,2008,Union Olimpija,Slovenia,1986-05-06,1.9,86.2
147,27,Andre Drummond,Andre,Drummond,C,9,2012,Connecticut,USA,1993-08-10,2.08,126.6
148,17,Jared Dudley,Jared,Dudley,F,14,2007,Boston College,USA,1985-07-10,1.98,107.5
153,4,Kevin Durant,Kevin,Durant,F,13,2007,Texas-Austin,USA,1988-09-29,2.08,108.9
155,6,Jarell Eddie,Jarell,Eddie,G-F,4,2015,Virginia Tech,USA,1991-10-30,2.01,98.9
157,17,Wayne Ellington,Wayne,Ellington,G,12,2009,North Carolina,USA,1987-11-29,1.93,93.9
159,27,Joel Embiid,Joel,Embiid,C-F,5,2016,Kansas,Cameroon,1994-03-16,2.13,127.0
160,9,James Ennis III,James,Ennis III,F,7,2014,California State-Long Beach,USA,1990-07-01,1.98,97.5
161,17,Tyler Ennis,Tyler,Ennis,G,4,2014,Syracuse,Canada,1994-08-24,1.9,88.0
162,1,Jeremy Evans,Jeremy,Evans,F,7,2010,Western Kentucky,USA,1987-10-24,2.06,90.7
167,14,Kenneth Faried,Kenneth,Faried,F,0,0,,,,,
169,25,Derrick Favors,Derrick,Favors,F,11,2010,Georgia Tech,USA,1991-07-15,2.06,120.2
171,6,Cristiano Felicio,Cristiano,Felicio,F-C,5,2015,Flamengo,Brazil,1992-07-07,2.11,122.5
172,25,Raymond Felton,Raymond,Felton,G,0,0,,,,,
175,8,Dorian Finney-Smith,Dorian,Finney-Smith,F,5,2016,Florida,USA,1993-05-04,2.01,99.8
176,31,Bryn Forbes,Bryn,Forbes,G,5,2016,Michigan State,USA,1993-07-23,1.88,93.0
